Using backend: pytorch
Namespace(dataset='Citeseer', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  238004

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1417 | Train Loss 1.7932 | Val Acc 0.1560 | Val loss 1.7933:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1833 | Train Loss 1.7914 | Val Acc 0.1260 | Val loss 1.7943:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1833 | Train Loss 1.7902 | Val Acc 0.1880 | Val loss 1.7908:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1750 | Train Loss 1.7966 | Val Acc 0.2000 | Val loss 1.7918:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2167 | Train Loss 1.7768 | Val Acc 0.1620 | Val loss 1.7937:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2500 | Train Loss 1.7792 | Val Acc 0.1900 | Val loss 1.7913:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2250 | Train Loss 1.7802 | Val Acc 0.2220 | Val loss 1.7864:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3167 | Train Loss 1.7600 | Val Acc 0.2080 | Val loss 1.7904:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3167 | Train Loss 1.7600 | Val Acc 0.2080 | Val loss 1.7904:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2500 | Train Loss 1.7620 | Val Acc 0.1860 | Val loss 1.7914:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2417 | Train Loss 1.7485 | Val Acc 0.1860 | Val loss 1.7875:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3250 | Train Loss 1.7490 | Val Acc 0.1780 | Val loss 1.7941:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2917 | Train Loss 1.7487 | Val Acc 0.1800 | Val loss 1.7961:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2750 | Train Loss 1.7626 | Val Acc 0.1820 | Val loss 1.7845:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2917 | Train Loss 1.7416 | Val Acc 0.1920 | Val loss 1.7865:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3250 | Train Loss 1.7319 | Val Acc 0.1740 | Val loss 1.7832:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3083 | Train Loss 1.7040 | Val Acc 0.1780 | Val loss 1.7882:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3250 | Train Loss 1.7039 | Val Acc 0.2080 | Val loss 1.7752:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3417 | Train Loss 1.6948 | Val Acc 0.1960 | Val loss 1.7918:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3333 | Train Loss 1.6616 | Val Acc 0.2040 | Val loss 1.7778:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2917 | Train Loss 1.6983 | Val Acc 0.1980 | Val loss 1.7847:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2917 | Train Loss 1.6983 | Val Acc 0.1980 | Val loss 1.7847:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.2750 | Train Loss 1.7177 | Val Acc 0.2080 | Val loss 1.7868:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.3417 | Train Loss 1.6505 | Val Acc 0.2080 | Val loss 1.7851:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.3833 | Train Loss 1.6545 | Val Acc 0.2200 | Val loss 1.7691:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.3750 | Train Loss 1.6577 | Val Acc 0.2480 | Val loss 1.7551:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
