Using backend: pytorch
Namespace(dataset='Pubmed', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  32760

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.4000 | Train Loss 1.0942 | Val Acc 0.3620 | Val loss 1.0951:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3833 | Train Loss 1.1066 | Val Acc 0.3440 | Val loss 1.0988:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3500 | Train Loss 1.1074 | Val Acc 0.3640 | Val loss 1.0992:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3833 | Train Loss 1.1007 | Val Acc 0.3300 | Val loss 1.0981:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3000 | Train Loss 1.1002 | Val Acc 0.3800 | Val loss 1.0955:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.5500 | Train Loss 1.0789 | Val Acc 0.3680 | Val loss 1.0919:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.4333 | Train Loss 1.0920 | Val Acc 0.3760 | Val loss 1.0924:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.4500 | Train Loss 1.0646 | Val Acc 0.3980 | Val loss 1.0936:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.4500 | Train Loss 1.0898 | Val Acc 0.3460 | Val loss 1.0957:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.4500 | Train Loss 1.0730 | Val Acc 0.4520 | Val loss 1.0877:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.4500 | Train Loss 1.0730 | Val Acc 0.4520 | Val loss 1.0877:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.4500 | Train Loss 1.0847 | Val Acc 0.3800 | Val loss 1.0934:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.5167 | Train Loss 1.0620 | Val Acc 0.3860 | Val loss 1.0876:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.4667 | Train Loss 1.0616 | Val Acc 0.3820 | Val loss 1.0833:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.6167 | Train Loss 1.0465 | Val Acc 0.3940 | Val loss 1.0876:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.5500 | Train Loss 1.0422 | Val Acc 0.4000 | Val loss 1.0818:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.4667 | Train Loss 1.0404 | Val Acc 0.4140 | Val loss 1.0847:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.5333 | Train Loss 1.0311 | Val Acc 0.4140 | Val loss 1.0773:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.4667 | Train Loss 1.0622 | Val Acc 0.3740 | Val loss 1.0827:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.5333 | Train Loss 1.0135 | Val Acc 0.3840 | Val loss 1.0847:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.4833 | Train Loss 1.0436 | Val Acc 0.4020 | Val loss 1.0697:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.4833 | Train Loss 1.0087 | Val Acc 0.4520 | Val loss 1.0811:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.5167 | Train Loss 1.0320 | Val Acc 0.4120 | Val loss 1.0773:   5%|▌         | 10/200 [00:00<00:02, 94.21it/s]
Train Acc 0.5167 | Train Loss 1.0320 | Val Acc 0.4120 | Val loss 1.0773:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.5167 | Train Loss 1.0057 | Val Acc 0.4540 | Val loss 1.0608:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.5500 | Train Loss 1.0019 | Val Acc 0.4440 | Val loss 1.0655:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.6333 | Train Loss 0.9673 | Val Acc 0.4260 | Val loss 1.0687:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.5833 | Train Loss 0.9644 | Val Acc 0.4760 | Val loss 1.0423:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.5167 | Train Loss 0.9787 | Val Acc 0.4640 | Val loss 1.0595:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.5667 | Train Loss 0.9783 | Val Acc 0.4560 | Val loss 1.0481:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.6167 | Train Loss 0.9457 | Val Acc 0.4620 | Val loss 1.0367:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.6167 | Train Loss 0.9473 | Val Acc 0.4720 | Val loss 1.0323:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.7167 | Train Loss 0.9033 | Val Acc 0.5160 | Val loss 1.0294:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.5167 | Train Loss 0.9510 | Val Acc 0.4800 | Val loss 1.0330:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.7167 | Train Loss 0.9347 | Val Acc 0.5180 | Val loss 1.0104:  11%|█         | 22/200 [00:00<00:01, 106.62it/s]
Train Acc 0.7167 | Train Loss 0.9347 | Val Acc 0.5180 | Val loss 1.0104:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7167 | Train Loss 0.8669 | Val Acc 0.4540 | Val loss 1.0467:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6000 | Train Loss 0.8571 | Val Acc 0.4780 | Val loss 1.0169:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6000 | Train Loss 0.9310 | Val Acc 0.4860 | Val loss 1.0247:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6833 | Train Loss 0.8620 | Val Acc 0.5040 | Val loss 1.0070:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7167 | Train Loss 0.8237 | Val Acc 0.5180 | Val loss 1.0095:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6000 | Train Loss 0.8672 | Val Acc 0.4980 | Val loss 0.9980:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.5667 | Train Loss 0.8680 | Val Acc 0.4900 | Val loss 1.0281:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6333 | Train Loss 0.8657 | Val Acc 0.5080 | Val loss 1.0167:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7167 | Train Loss 0.7926 | Val Acc 0.5380 | Val loss 0.9890:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7500 | Train Loss 0.8283 | Val Acc 0.5340 | Val loss 0.9933:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6500 | Train Loss 0.8380 | Val Acc 0.5600 | Val loss 0.9731:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7667 | Train Loss 0.7116 | Val Acc 0.5440 | Val loss 1.0151:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7667 | Train Loss 0.7116 | Val Acc 0.5440 | Val loss 1.0151:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7667 | Train Loss 0.7204 | Val Acc 0.5660 | Val loss 0.9746:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7333 | Train Loss 0.7831 | Val Acc 0.5840 | Val loss 0.9624:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7500 | Train Loss 0.7686 | Val Acc 0.5440 | Val loss 0.9626:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.8167 | Train Loss 0.7289 | Val Acc 0.6000 | Val loss 0.9279:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.8000 | Train Loss 0.7707 | Val Acc 0.5500 | Val loss 0.9710:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7833 | Train Loss 0.6812 | Val Acc 0.5720 | Val loss 0.9559:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7833 | Train Loss 0.7569 | Val Acc 0.5700 | Val loss 0.9499:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7333 | Train Loss 0.7606 | Val Acc 0.5700 | Val loss 0.9656:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
