Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='gcn', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  23063
Epoch 00000 | Time(s) nan | Loss 1.9466 | Accuracy 0.0620 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.9397 | Accuracy 0.0600 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.9325 | Accuracy 0.0740 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0041 | Loss 1.9238 | Accuracy 0.1240 | ETputs(KTEPS) 2565.93
Epoch 00004 | Time(s) 0.0041 | Loss 1.9146 | Accuracy 0.2220 | ETputs(KTEPS) 2571.74
Epoch 00005 | Time(s) 0.0041 | Loss 1.9012 | Accuracy 0.3480 | ETputs(KTEPS) 2576.03
Epoch 00006 | Time(s) 0.0041 | Loss 1.8907 | Accuracy 0.4080 | ETputs(KTEPS) 2580.92
Epoch 00007 | Time(s) 0.0041 | Loss 1.8821 | Accuracy 0.4580 | ETputs(KTEPS) 2577.16
Epoch 00008 | Time(s) 0.0041 | Loss 1.8677 | Accuracy 0.4980 | ETputs(KTEPS) 2571.76
Epoch 00009 | Time(s) 0.0041 | Loss 1.8590 | Accuracy 0.5280 | ETputs(KTEPS) 2556.57
Epoch 00010 | Time(s) 0.0042 | Loss 1.8540 | Accuracy 0.5680 | ETputs(KTEPS) 2542.54
Epoch 00011 | Time(s) 0.0042 | Loss 1.8361 | Accuracy 0.6180 | ETputs(KTEPS) 2537.42
Epoch 00012 | Time(s) 0.0042 | Loss 1.8203 | Accuracy 0.6680 | ETputs(KTEPS) 2539.28
Epoch 00013 | Time(s) 0.0042 | Loss 1.8086 | Accuracy 0.6920 | ETputs(KTEPS) 2540.81
Epoch 00014 | Time(s) 0.0041 | Loss 1.7888 | Accuracy 0.7060 | ETputs(KTEPS) 2544.19
Epoch 00015 | Time(s) 0.0041 | Loss 1.7682 | Accuracy 0.7080 | ETputs(KTEPS) 2546.30
Epoch 00016 | Time(s) 0.0041 | Loss 1.7701 | Accuracy 0.7100 | ETputs(KTEPS) 2548.48
Epoch 00017 | Time(s) 0.0041 | Loss 1.7515 | Accuracy 0.7160 | ETputs(KTEPS) 2551.20
Epoch 00018 | Time(s) 0.0041 | Loss 1.7425 | Accuracy 0.7240 | ETputs(KTEPS) 2553.93
Epoch 00019 | Time(s) 0.0041 | Loss 1.7194 | Accuracy 0.7220 | ETputs(KTEPS) 2556.00
Epoch 00020 | Time(s) 0.0041 | Loss 1.7049 | Accuracy 0.7360 | ETputs(KTEPS) 2557.40
Epoch 00021 | Time(s) 0.0041 | Loss 1.6877 | Accuracy 0.7420 | ETputs(KTEPS) 2559.79
Epoch 00022 | Time(s) 0.0041 | Loss 1.6714 | Accuracy 0.7600 | ETputs(KTEPS) 2561.82
Epoch 00023 | Time(s) 0.0041 | Loss 1.6522 | Accuracy 0.7620 | ETputs(KTEPS) 2562.02
Epoch 00024 | Time(s) 0.0041 | Loss 1.6621 | Accuracy 0.7600 | ETputs(KTEPS) 2564.54
Epoch 00025 | Time(s) 0.0041 | Loss 1.6040 | Accuracy 0.7600 | ETputs(KTEPS) 2561.69
Epoch 00026 | Time(s) 0.0041 | Loss 1.5959 | Accuracy 0.7620 | ETputs(KTEPS) 2558.63
Epoch 00027 | Time(s) 0.0041 | Loss 1.5869 | Accuracy 0.7700 | ETputs(KTEPS) 2557.98
Epoch 00028 | Time(s) 0.0041 | Loss 1.5822 | Accuracy 0.7740 | ETputs(KTEPS) 2556.26
Epoch 00029 | Time(s) 0.0041 | Loss 1.5498 | Accuracy 0.7640 | ETputs(KTEPS) 2557.32
Epoch 00030 | Time(s) 0.0041 | Loss 1.5327 | Accuracy 0.7580 | ETputs(KTEPS) 2557.72
Epoch 00031 | Time(s) 0.0041 | Loss 1.4952 | Accuracy 0.7500 | ETputs(KTEPS) 2557.90
Epoch 00032 | Time(s) 0.0041 | Loss 1.4770 | Accuracy 0.7580 | ETputs(KTEPS) 2557.98
Epoch 00033 | Time(s) 0.0041 | Loss 1.4696 | Accuracy 0.7580 | ETputs(KTEPS) 2558.47
Epoch 00034 | Time(s) 0.0041 | Loss 1.4645 | Accuracy 0.7620 | ETputs(KTEPS) 2559.10
Epoch 00035 | Time(s) 0.0041 | Loss 1.4402 | Accuracy 0.7620 | ETputs(KTEPS) 2558.30
Epoch 00036 | Time(s) 0.0041 | Loss 1.4255 | Accuracy 0.7660 | ETputs(KTEPS) 2556.71
Epoch 00037 | Time(s) 0.0041 | Loss 1.4035 | Accuracy 0.7740 | ETputs(KTEPS) 2555.77
Epoch 00038 | Time(s) 0.0041 | Loss 1.3483 | Accuracy 0.7740 | ETputs(KTEPS) 2555.26
Epoch 00039 | Time(s) 0.0041 | Loss 1.3529 | Accuracy 0.7740 | ETputs(KTEPS) 2555.54
Epoch 00040 | Time(s) 0.0041 | Loss 1.3504 | Accuracy 0.7780 | ETputs(KTEPS) 2555.91
Epoch 00041 | Time(s) 0.0041 | Loss 1.3598 | Accuracy 0.7760 | ETputs(KTEPS) 2556.40
Epoch 00042 | Time(s) 0.0041 | Loss 1.2971 | Accuracy 0.7700 | ETputs(KTEPS) 2556.51
Epoch 00043 | Time(s) 0.0041 | Loss 1.2661 | Accuracy 0.7720 | ETputs(KTEPS) 2555.56
Epoch 00044 | Time(s) 0.0041 | Loss 1.2935 | Accuracy 0.7700 | ETputs(KTEPS) 2555.68
Epoch 00045 | Time(s) 0.0041 | Loss 1.2327 | Accuracy 0.7700 | ETputs(KTEPS) 2556.04
