Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='gcn', dataset='citeseer', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 9228
      #Classes 6
      #Train samples 120
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  59366
Epoch 00000 | Time(s) nan | Loss 1.7920 | Accuracy 0.1520 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.7855 | Accuracy 0.4060 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.7771 | Accuracy 0.5160 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0044 | Loss 1.7701 | Accuracy 0.5720 | ETputs(KTEPS) 2075.49
Epoch 00004 | Time(s) 0.0042 | Loss 1.7547 | Accuracy 0.5800 | ETputs(KTEPS) 2170.77
Epoch 00005 | Time(s) 0.0041 | Loss 1.7446 | Accuracy 0.6080 | ETputs(KTEPS) 2207.48
Epoch 00006 | Time(s) 0.0041 | Loss 1.7345 | Accuracy 0.6540 | ETputs(KTEPS) 2225.46
Epoch 00007 | Time(s) 0.0041 | Loss 1.7275 | Accuracy 0.6800 | ETputs(KTEPS) 2235.78
Epoch 00008 | Time(s) 0.0041 | Loss 1.7149 | Accuracy 0.6520 | ETputs(KTEPS) 2241.19
Epoch 00009 | Time(s) 0.0041 | Loss 1.7038 | Accuracy 0.6520 | ETputs(KTEPS) 2247.53
Epoch 00010 | Time(s) 0.0040 | Loss 1.6883 | Accuracy 0.6580 | ETputs(KTEPS) 2251.62
Epoch 00011 | Time(s) 0.0040 | Loss 1.6723 | Accuracy 0.6780 | ETputs(KTEPS) 2252.00
Epoch 00012 | Time(s) 0.0040 | Loss 1.6653 | Accuracy 0.6720 | ETputs(KTEPS) 2252.88
