Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='gcn', dataset='pubmed', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 88651
      #Classes 3
      #Train samples 60
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  8067
Epoch 00000 | Time(s) nan | Loss 1.1033 | Accuracy 0.5340 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.0924 | Accuracy 0.6300 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.0863 | Accuracy 0.6920 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0045 | Loss 1.0808 | Accuracy 0.6880 | ETputs(KTEPS) 19816.48
Epoch 00004 | Time(s) 0.0043 | Loss 1.0727 | Accuracy 0.6800 | ETputs(KTEPS) 20841.74
Epoch 00005 | Time(s) 0.0042 | Loss 1.0563 | Accuracy 0.6840 | ETputs(KTEPS) 21205.87
Epoch 00006 | Time(s) 0.0041 | Loss 1.0533 | Accuracy 0.7200 | ETputs(KTEPS) 21400.44
Epoch 00007 | Time(s) 0.0041 | Loss 1.0508 | Accuracy 0.7160 | ETputs(KTEPS) 21522.90
Epoch 00008 | Time(s) 0.0041 | Loss 1.0283 | Accuracy 0.6720 | ETputs(KTEPS) 21592.14
Epoch 00009 | Time(s) 0.0041 | Loss 1.0184 | Accuracy 0.6560 | ETputs(KTEPS) 21658.08
Epoch 00010 | Time(s) 0.0041 | Loss 1.0014 | Accuracy 0.6520 | ETputs(KTEPS) 21700.20
Epoch 00011 | Time(s) 0.0041 | Loss 0.9939 | Accuracy 0.6600 | ETputs(KTEPS) 21714.60
Epoch 00012 | Time(s) 0.0041 | Loss 0.9851 | Accuracy 0.6900 | ETputs(KTEPS) 21731.59
Epoch 00013 | Time(s) 0.0041 | Loss 0.9599 | Accuracy 0.7000 | ETputs(KTEPS) 21747.71
Epoch 00014 | Time(s) 0.0041 | Loss 0.9491 | Accuracy 0.7300 | ETputs(KTEPS) 21760.21
Epoch 00015 | Time(s) 0.0041 | Loss 0.9341 | Accuracy 0.7440 | ETputs(KTEPS) 21776.97
Epoch 00016 | Time(s) 0.0041 | Loss 0.9171 | Accuracy 0.7380 | ETputs(KTEPS) 21798.48
Epoch 00017 | Time(s) 0.0041 | Loss 0.9039 | Accuracy 0.7360 | ETputs(KTEPS) 21818.43
Epoch 00018 | Time(s) 0.0041 | Loss 0.8872 | Accuracy 0.7380 | ETputs(KTEPS) 21836.65
Epoch 00019 | Time(s) 0.0041 | Loss 0.8734 | Accuracy 0.7440 | ETputs(KTEPS) 21849.87
Epoch 00020 | Time(s) 0.0041 | Loss 0.8488 | Accuracy 0.7420 | ETputs(KTEPS) 21849.72
Epoch 00021 | Time(s) 0.0041 | Loss 0.8440 | Accuracy 0.7400 | ETputs(KTEPS) 21850.33
Epoch 00022 | Time(s) 0.0041 | Loss 0.8438 | Accuracy 0.7360 | ETputs(KTEPS) 21860.70
Epoch 00023 | Time(s) 0.0041 | Loss 0.8161 | Accuracy 0.7320 | ETputs(KTEPS) 21867.16
Epoch 00024 | Time(s) 0.0041 | Loss 0.7938 | Accuracy 0.7340 | ETputs(KTEPS) 21867.24
Epoch 00025 | Time(s) 0.0041 | Loss 0.7594 | Accuracy 0.7340 | ETputs(KTEPS) 21876.77
Epoch 00026 | Time(s) 0.0041 | Loss 0.7559 | Accuracy 0.7380 | ETputs(KTEPS) 21882.67
Epoch 00027 | Time(s) 0.0041 | Loss 0.7512 | Accuracy 0.7440 | ETputs(KTEPS) 21884.54
Epoch 00028 | Time(s) 0.0040 | Loss 0.7105 | Accuracy 0.7420 | ETputs(KTEPS) 21889.00
Epoch 00029 | Time(s) 0.0041 | Loss 0.7129 | Accuracy 0.7440 | ETputs(KTEPS) 21882.58
Epoch 00030 | Time(s) 0.0041 | Loss 0.7170 | Accuracy 0.7440 | ETputs(KTEPS) 21880.16
Epoch 00031 | Time(s) 0.0041 | Loss 0.6760 | Accuracy 0.7480 | ETputs(KTEPS) 21880.84
Epoch 00032 | Time(s) 0.0041 | Loss 0.6813 | Accuracy 0.7480 | ETputs(KTEPS) 21874.36
Epoch 00033 | Time(s) 0.0041 | Loss 0.6656 | Accuracy 0.7460 | ETputs(KTEPS) 21875.47
Epoch 00034 | Time(s) 0.0041 | Loss 0.6683 | Accuracy 0.7480 | ETputs(KTEPS) 21879.05
Epoch 00035 | Time(s) 0.0041 | Loss 0.6216 | Accuracy 0.7460 | ETputs(KTEPS) 21880.11
Epoch 00036 | Time(s) 0.0041 | Loss 0.6254 | Accuracy 0.7480 | ETputs(KTEPS) 21881.11
Epoch 00037 | Time(s) 0.0041 | Loss 0.5937 | Accuracy 0.7520 | ETputs(KTEPS) 21878.89
Epoch 00038 | Time(s) 0.0041 | Loss 0.6056 | Accuracy 0.7540 | ETputs(KTEPS) 21881.40
Epoch 00039 | Time(s) 0.0041 | Loss 0.6078 | Accuracy 0.7560 | ETputs(KTEPS) 21887.58
Epoch 00040 | Time(s) 0.0040 | Loss 0.5310 | Accuracy 0.7600 | ETputs(KTEPS) 21889.15
