Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='mean', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  46103
Epoch 00000 | Time(s) nan | Loss 1.9489 | Accuracy 0.1460 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.9288 | Accuracy 0.2860 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.9080 | Accuracy 0.3840 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0048 | Loss 1.8829 | Accuracy 0.3980 | ETputs(KTEPS) 2205.70
Epoch 00004 | Time(s) 0.0046 | Loss 1.8499 | Accuracy 0.3640 | ETputs(KTEPS) 2310.08
Epoch 00005 | Time(s) 0.0045 | Loss 1.8113 | Accuracy 0.3020 | ETputs(KTEPS) 2350.85
Epoch 00006 | Time(s) 0.0045 | Loss 1.7670 | Accuracy 0.3000 | ETputs(KTEPS) 2371.17
Epoch 00007 | Time(s) 0.0044 | Loss 1.7125 | Accuracy 0.3060 | ETputs(KTEPS) 2380.23
Epoch 00008 | Time(s) 0.0044 | Loss 1.6938 | Accuracy 0.3620 | ETputs(KTEPS) 2389.89
Epoch 00009 | Time(s) 0.0044 | Loss 1.6305 | Accuracy 0.4300 | ETputs(KTEPS) 2395.71
Epoch 00010 | Time(s) 0.0044 | Loss 1.6050 | Accuracy 0.4680 | ETputs(KTEPS) 2399.39
Epoch 00011 | Time(s) 0.0044 | Loss 1.5582 | Accuracy 0.5160 | ETputs(KTEPS) 2400.15
Epoch 00012 | Time(s) 0.0044 | Loss 1.5331 | Accuracy 0.5800 | ETputs(KTEPS) 2404.39
Epoch 00013 | Time(s) 0.0044 | Loss 1.4836 | Accuracy 0.6060 | ETputs(KTEPS) 2407.02
Epoch 00014 | Time(s) 0.0044 | Loss 1.4588 | Accuracy 0.6420 | ETputs(KTEPS) 2408.38
Epoch 00015 | Time(s) 0.0044 | Loss 1.3586 | Accuracy 0.6640 | ETputs(KTEPS) 2409.04
Epoch 00016 | Time(s) 0.0044 | Loss 1.3561 | Accuracy 0.6800 | ETputs(KTEPS) 2411.44
Epoch 00017 | Time(s) 0.0044 | Loss 1.3301 | Accuracy 0.6900 | ETputs(KTEPS) 2413.99
Epoch 00018 | Time(s) 0.0044 | Loss 1.3040 | Accuracy 0.7080 | ETputs(KTEPS) 2415.91
Epoch 00019 | Time(s) 0.0044 | Loss 1.2189 | Accuracy 0.7160 | ETputs(KTEPS) 2416.72
Epoch 00020 | Time(s) 0.0044 | Loss 1.1951 | Accuracy 0.7120 | ETputs(KTEPS) 2417.66
Epoch 00021 | Time(s) 0.0044 | Loss 1.1586 | Accuracy 0.7160 | ETputs(KTEPS) 2418.91
Epoch 00022 | Time(s) 0.0044 | Loss 1.0531 | Accuracy 0.7180 | ETputs(KTEPS) 2420.04
Epoch 00023 | Time(s) 0.0044 | Loss 1.0320 | Accuracy 0.7260 | ETputs(KTEPS) 2420.31
Epoch 00024 | Time(s) 0.0044 | Loss 1.0312 | Accuracy 0.7320 | ETputs(KTEPS) 2421.16
Epoch 00025 | Time(s) 0.0044 | Loss 0.9336 | Accuracy 0.7380 | ETputs(KTEPS) 2422.19
Epoch 00026 | Time(s) 0.0044 | Loss 0.9042 | Accuracy 0.7400 | ETputs(KTEPS) 2422.49
Epoch 00027 | Time(s) 0.0044 | Loss 0.9058 | Accuracy 0.7440 | ETputs(KTEPS) 2421.52
Epoch 00028 | Time(s) 0.0044 | Loss 0.8831 | Accuracy 0.7500 | ETputs(KTEPS) 2422.60
Epoch 00029 | Time(s) 0.0044 | Loss 0.8053 | Accuracy 0.7560 | ETputs(KTEPS) 2423.35
Epoch 00030 | Time(s) 0.0044 | Loss 0.8423 | Accuracy 0.7600 | ETputs(KTEPS) 2423.21
Epoch 00031 | Time(s) 0.0044 | Loss 0.7893 | Accuracy 0.7580 | ETputs(KTEPS) 2423.28
Epoch 00032 | Time(s) 0.0044 | Loss 0.7738 | Accuracy 0.7660 | ETputs(KTEPS) 2423.61
Epoch 00033 | Time(s) 0.0044 | Loss 0.7208 | Accuracy 0.7640 | ETputs(KTEPS) 2424.48
Epoch 00034 | Time(s) 0.0044 | Loss 0.6768 | Accuracy 0.7700 | ETputs(KTEPS) 2424.85
Epoch 00035 | Time(s) 0.0044 | Loss 0.6708 | Accuracy 0.7720 | ETputs(KTEPS) 2424.53
Epoch 00036 | Time(s) 0.0044 | Loss 0.6345 | Accuracy 0.7760 | ETputs(KTEPS) 2425.07
Epoch 00037 | Time(s) 0.0044 | Loss 0.5888 | Accuracy 0.7740 | ETputs(KTEPS) 2425.67
