Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='mean', dataset='citeseer', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 9228
      #Classes 6
      #Train samples 120
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  118710
Epoch 00000 | Time(s) nan | Loss 1.7933 | Accuracy 0.2680 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.7763 | Accuracy 0.3080 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.7491 | Accuracy 0.3320 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0048 | Loss 1.7219 | Accuracy 0.2660 | ETputs(KTEPS) 1900.41
Epoch 00004 | Time(s) 0.0048 | Loss 1.6734 | Accuracy 0.2420 | ETputs(KTEPS) 1905.58
Epoch 00005 | Time(s) 0.0048 | Loss 1.6606 | Accuracy 0.2460 | ETputs(KTEPS) 1915.25
Epoch 00006 | Time(s) 0.0047 | Loss 1.6142 | Accuracy 0.2500 | ETputs(KTEPS) 1930.02
Epoch 00007 | Time(s) 0.0047 | Loss 1.5462 | Accuracy 0.2660 | ETputs(KTEPS) 1943.39
Epoch 00008 | Time(s) 0.0047 | Loss 1.5185 | Accuracy 0.2920 | ETputs(KTEPS) 1956.38
Epoch 00009 | Time(s) 0.0046 | Loss 1.4773 | Accuracy 0.3160 | ETputs(KTEPS) 1966.79
Epoch 00010 | Time(s) 0.0046 | Loss 1.4258 | Accuracy 0.3320 | ETputs(KTEPS) 1973.28
Epoch 00011 | Time(s) 0.0046 | Loss 1.3871 | Accuracy 0.3420 | ETputs(KTEPS) 1978.61
Epoch 00012 | Time(s) 0.0046 | Loss 1.3502 | Accuracy 0.3580 | ETputs(KTEPS) 1983.66
Epoch 00013 | Time(s) 0.0046 | Loss 1.2865 | Accuracy 0.3680 | ETputs(KTEPS) 1988.12
Epoch 00014 | Time(s) 0.0046 | Loss 1.2761 | Accuracy 0.3800 | ETputs(KTEPS) 1992.17
Epoch 00015 | Time(s) 0.0046 | Loss 1.2557 | Accuracy 0.3960 | ETputs(KTEPS) 1996.61
Epoch 00016 | Time(s) 0.0046 | Loss 1.2074 | Accuracy 0.4060 | ETputs(KTEPS) 1993.75
Epoch 00017 | Time(s) 0.0046 | Loss 1.1480 | Accuracy 0.4160 | ETputs(KTEPS) 1993.30
