Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='mean', dataset='pubmed', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 88651
      #Classes 3
      #Train samples 60
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  16115
Epoch 00000 | Time(s) nan | Loss 1.0859 | Accuracy 0.4860 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.0745 | Accuracy 0.5080 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.0679 | Accuracy 0.5500 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0045 | Loss 1.0418 | Accuracy 0.6100 | ETputs(KTEPS) 19810.15
Epoch 00004 | Time(s) 0.0045 | Loss 1.0052 | Accuracy 0.6460 | ETputs(KTEPS) 19816.48
Epoch 00005 | Time(s) 0.0045 | Loss 0.9819 | Accuracy 0.6600 | ETputs(KTEPS) 19872.62
Epoch 00006 | Time(s) 0.0045 | Loss 0.9618 | Accuracy 0.6780 | ETputs(KTEPS) 19886.70
Epoch 00007 | Time(s) 0.0045 | Loss 0.9443 | Accuracy 0.6820 | ETputs(KTEPS) 19820.50
Epoch 00008 | Time(s) 0.0045 | Loss 0.9268 | Accuracy 0.6940 | ETputs(KTEPS) 19762.06
Epoch 00009 | Time(s) 0.0046 | Loss 0.8602 | Accuracy 0.7100 | ETputs(KTEPS) 19385.93
Epoch 00010 | Time(s) 0.0046 | Loss 0.8314 | Accuracy 0.7180 | ETputs(KTEPS) 19151.25
Epoch 00011 | Time(s) 0.0046 | Loss 0.8210 | Accuracy 0.7280 | ETputs(KTEPS) 19137.42
Epoch 00012 | Time(s) 0.0046 | Loss 0.7618 | Accuracy 0.7240 | ETputs(KTEPS) 19186.77
Epoch 00013 | Time(s) 0.0046 | Loss 0.7848 | Accuracy 0.7280 | ETputs(KTEPS) 19243.81
Epoch 00014 | Time(s) 0.0046 | Loss 0.7664 | Accuracy 0.7300 | ETputs(KTEPS) 19193.84
Epoch 00015 | Time(s) 0.0046 | Loss 0.7052 | Accuracy 0.7360 | ETputs(KTEPS) 19191.60
Epoch 00016 | Time(s) 0.0047 | Loss 0.7125 | Accuracy 0.7460 | ETputs(KTEPS) 19044.50
