Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='pool', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  2101297
Epoch 00000 | Time(s) nan | Loss 1.9567 | Accuracy 0.1840 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 2.3592 | Accuracy 0.0720 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.8889 | Accuracy 0.0720 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0060 | Loss 1.8325 | Accuracy 0.2480 | ETputs(KTEPS) 1751.32
Epoch 00004 | Time(s) 0.0055 | Loss 1.8168 | Accuracy 0.2460 | ETputs(KTEPS) 1904.67
Epoch 00005 | Time(s) 0.0053 | Loss 1.7875 | Accuracy 0.3100 | ETputs(KTEPS) 1977.12
Epoch 00006 | Time(s) 0.0053 | Loss 1.6773 | Accuracy 0.3300 | ETputs(KTEPS) 2009.67
Epoch 00007 | Time(s) 0.0052 | Loss 1.7596 | Accuracy 0.3860 | ETputs(KTEPS) 2031.84
Epoch 00008 | Time(s) 0.0052 | Loss 1.5838 | Accuracy 0.4120 | ETputs(KTEPS) 2016.17
Epoch 00009 | Time(s) 0.0052 | Loss 1.6235 | Accuracy 0.3220 | ETputs(KTEPS) 2026.43
Epoch 00010 | Time(s) 0.0052 | Loss 1.6101 | Accuracy 0.2640 | ETputs(KTEPS) 2036.60
Epoch 00011 | Time(s) 0.0052 | Loss 1.5361 | Accuracy 0.3480 | ETputs(KTEPS) 2047.04
Epoch 00012 | Time(s) 0.0051 | Loss 1.3362 | Accuracy 0.3500 | ETputs(KTEPS) 2054.90
Epoch 00013 | Time(s) 0.0051 | Loss 1.3435 | Accuracy 0.3900 | ETputs(KTEPS) 2061.61
Epoch 00014 | Time(s) 0.0051 | Loss 1.2611 | Accuracy 0.4600 | ETputs(KTEPS) 2068.43
Epoch 00015 | Time(s) 0.0051 | Loss 1.2765 | Accuracy 0.4780 | ETputs(KTEPS) 2072.80
Epoch 00016 | Time(s) 0.0051 | Loss 1.1740 | Accuracy 0.4940 | ETputs(KTEPS) 2076.27
Epoch 00017 | Time(s) 0.0051 | Loss 1.1270 | Accuracy 0.5000 | ETputs(KTEPS) 2077.33
Epoch 00018 | Time(s) 0.0051 | Loss 1.1289 | Accuracy 0.5020 | ETputs(KTEPS) 2079.37
Epoch 00019 | Time(s) 0.0051 | Loss 1.0637 | Accuracy 0.5160 | ETputs(KTEPS) 2082.20
Epoch 00020 | Time(s) 0.0051 | Loss 0.9173 | Accuracy 0.5340 | ETputs(KTEPS) 2084.34
Epoch 00021 | Time(s) 0.0051 | Loss 0.9366 | Accuracy 0.5440 | ETputs(KTEPS) 2077.92
Epoch 00022 | Time(s) 0.0051 | Loss 0.8873 | Accuracy 0.5300 | ETputs(KTEPS) 2080.70
Epoch 00023 | Time(s) 0.0051 | Loss 0.8750 | Accuracy 0.5420 | ETputs(KTEPS) 2082.61
Epoch 00024 | Time(s) 0.0051 | Loss 0.8656 | Accuracy 0.5860 | ETputs(KTEPS) 2085.39
Epoch 00025 | Time(s) 0.0051 | Loss 0.6099 | Accuracy 0.5960 | ETputs(KTEPS) 2087.03
Epoch 00026 | Time(s) 0.0051 | Loss 0.6768 | Accuracy 0.5980 | ETputs(KTEPS) 2089.14
Epoch 00027 | Time(s) 0.0051 | Loss 0.6302 | Accuracy 0.6500 | ETputs(KTEPS) 2083.08
Epoch 00028 | Time(s) 0.0051 | Loss 0.6436 | Accuracy 0.6440 | ETputs(KTEPS) 2083.23
Epoch 00029 | Time(s) 0.0051 | Loss 0.5785 | Accuracy 0.6360 | ETputs(KTEPS) 2080.96
Epoch 00030 | Time(s) 0.0051 | Loss 0.6414 | Accuracy 0.6320 | ETputs(KTEPS) 2082.07
Epoch 00031 | Time(s) 0.0051 | Loss 0.5448 | Accuracy 0.5920 | ETputs(KTEPS) 2083.68
Epoch 00032 | Time(s) 0.0051 | Loss 0.5524 | Accuracy 0.6160 | ETputs(KTEPS) 2085.11
Epoch 00033 | Time(s) 0.0051 | Loss 0.6277 | Accuracy 0.6540 | ETputs(KTEPS) 2085.22
Epoch 00034 | Time(s) 0.0051 | Loss 0.4967 | Accuracy 0.6480 | ETputs(KTEPS) 2086.28
Epoch 00035 | Time(s) 0.0051 | Loss 0.4900 | Accuracy 0.6620 | ETputs(KTEPS) 2088.20
Epoch 00036 | Time(s) 0.0051 | Loss 0.5129 | Accuracy 0.6840 | ETputs(KTEPS) 2082.31
Epoch 00037 | Time(s) 0.0051 | Loss 0.4209 | Accuracy 0.6800 | ETputs(KTEPS) 2083.54
Epoch 00038 | Time(s) 0.0051 | Loss 0.4955 | Accuracy 0.6020 | ETputs(KTEPS) 2085.17
Epoch 00039 | Time(s) 0.0051 | Loss 0.5741 | Accuracy 0.6180 | ETputs(KTEPS) 2083.87
Epoch 00040 | Time(s) 0.0051 | Loss 0.4097 | Accuracy 0.6600 | ETputs(KTEPS) 2085.44
Epoch 00041 | Time(s) 0.0051 | Loss 0.3809 | Accuracy 0.6780 | ETputs(KTEPS) 2086.31
Epoch 00042 | Time(s) 0.0051 | Loss 0.4957 | Accuracy 0.7000 | ETputs(KTEPS) 2087.44
Epoch 00043 | Time(s) 0.0051 | Loss 0.4431 | Accuracy 0.7080 | ETputs(KTEPS) 2088.21
Epoch 00044 | Time(s) 0.0051 | Loss 0.4371 | Accuracy 0.7120 | ETputs(KTEPS) 2089.64
Epoch 00045 | Time(s) 0.0050 | Loss 0.3785 | Accuracy 0.7020 | ETputs(KTEPS) 2090.83
Epoch 00046 | Time(s) 0.0050 | Loss 0.3504 | Accuracy 0.6920 | ETputs(KTEPS) 2091.34
Epoch 00047 | Time(s) 0.0050 | Loss 0.3391 | Accuracy 0.6720 | ETputs(KTEPS) 2092.50
Epoch 00048 | Time(s) 0.0050 | Loss 0.3208 | Accuracy 0.6600 | ETputs(KTEPS) 2093.28
Epoch 00049 | Time(s) 0.0050 | Loss 0.3833 | Accuracy 0.6600 | ETputs(KTEPS) 2093.54
Epoch 00050 | Time(s) 0.0050 | Loss 0.3911 | Accuracy 0.6740 | ETputs(KTEPS) 2094.63
Epoch 00051 | Time(s) 0.0050 | Loss 0.5601 | Accuracy 0.7340 | ETputs(KTEPS) 2095.67
Epoch 00052 | Time(s) 0.0050 | Loss 0.2782 | Accuracy 0.6860 | ETputs(KTEPS) 2096.54
Epoch 00053 | Time(s) 0.0050 | Loss 0.3055 | Accuracy 0.6540 | ETputs(KTEPS) 2097.34
Epoch 00054 | Time(s) 0.0050 | Loss 0.4840 | Accuracy 0.6820 | ETputs(KTEPS) 2094.38
Epoch 00055 | Time(s) 0.0050 | Loss 0.3059 | Accuracy 0.6580 | ETputs(KTEPS) 2095.16
Epoch 00056 | Time(s) 0.0050 | Loss 0.4214 | Accuracy 0.7100 | ETputs(KTEPS) 2096.13
Epoch 00057 | Time(s) 0.0050 | Loss 0.3742 | Accuracy 0.6960 | ETputs(KTEPS) 2095.17
Epoch 00058 | Time(s) 0.0050 | Loss 0.3765 | Accuracy 0.6840 | ETputs(KTEPS) 2095.90
Epoch 00059 | Time(s) 0.0050 | Loss 0.2347 | Accuracy 0.6900 | ETputs(KTEPS) 2096.96
Epoch 00060 | Time(s) 0.0050 | Loss 0.2931 | Accuracy 0.6660 | ETputs(KTEPS) 2097.54
