Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='pool', dataset='citeseer', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 9228
      #Classes 6
      #Train samples 120
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  13834894
Epoch 00000 | Time(s) nan | Loss 1.8059 | Accuracy 0.1380 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 2.1009 | Accuracy 0.1720 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.7685 | Accuracy 0.1560 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0114 | Loss 1.7495 | Accuracy 0.0920 | ETputs(KTEPS) 795.95
Epoch 00004 | Time(s) 0.0114 | Loss 1.7322 | Accuracy 0.0940 | ETputs(KTEPS) 795.88
Epoch 00005 | Time(s) 0.0115 | Loss 1.6614 | Accuracy 0.0660 | ETputs(KTEPS) 794.88
Epoch 00006 | Time(s) 0.0115 | Loss 1.5965 | Accuracy 0.1760 | ETputs(KTEPS) 794.60
Epoch 00007 | Time(s) 0.0113 | Loss 1.5292 | Accuracy 0.2800 | ETputs(KTEPS) 805.53
Epoch 00008 | Time(s) 0.0112 | Loss 1.5043 | Accuracy 0.3240 | ETputs(KTEPS) 810.84
Epoch 00009 | Time(s) 0.0112 | Loss 1.3830 | Accuracy 0.3520 | ETputs(KTEPS) 815.78
Epoch 00010 | Time(s) 0.0112 | Loss 1.3004 | Accuracy 0.3860 | ETputs(KTEPS) 816.48
Epoch 00011 | Time(s) 0.0111 | Loss 1.2448 | Accuracy 0.3900 | ETputs(KTEPS) 818.87
Epoch 00012 | Time(s) 0.0111 | Loss 1.1942 | Accuracy 0.4280 | ETputs(KTEPS) 821.79
Epoch 00013 | Time(s) 0.0111 | Loss 1.1102 | Accuracy 0.3380 | ETputs(KTEPS) 823.05
Epoch 00014 | Time(s) 0.0110 | Loss 1.1719 | Accuracy 0.3640 | ETputs(KTEPS) 827.24
Epoch 00015 | Time(s) 0.0109 | Loss 1.1422 | Accuracy 0.4500 | ETputs(KTEPS) 831.64
Epoch 00016 | Time(s) 0.0109 | Loss 1.0505 | Accuracy 0.4520 | ETputs(KTEPS) 835.76
Epoch 00017 | Time(s) 0.0108 | Loss 1.0311 | Accuracy 0.4220 | ETputs(KTEPS) 840.96
Epoch 00018 | Time(s) 0.0108 | Loss 0.9925 | Accuracy 0.4280 | ETputs(KTEPS) 844.16
Epoch 00019 | Time(s) 0.0107 | Loss 1.0200 | Accuracy 0.4360 | ETputs(KTEPS) 847.00
Epoch 00020 | Time(s) 0.0107 | Loss 0.8811 | Accuracy 0.3760 | ETputs(KTEPS) 849.58
Epoch 00021 | Time(s) 0.0107 | Loss 1.0016 | Accuracy 0.4860 | ETputs(KTEPS) 853.20
Epoch 00022 | Time(s) 0.0106 | Loss 1.0233 | Accuracy 0.5000 | ETputs(KTEPS) 856.42
Epoch 00023 | Time(s) 0.0106 | Loss 0.8192 | Accuracy 0.4620 | ETputs(KTEPS) 858.25
Epoch 00024 | Time(s) 0.0106 | Loss 0.8820 | Accuracy 0.4680 | ETputs(KTEPS) 859.87
Epoch 00025 | Time(s) 0.0106 | Loss 0.7034 | Accuracy 0.4320 | ETputs(KTEPS) 861.43
Epoch 00026 | Time(s) 0.0105 | Loss 0.8352 | Accuracy 0.4480 | ETputs(KTEPS) 863.82
Epoch 00027 | Time(s) 0.0105 | Loss 0.8520 | Accuracy 0.4300 | ETputs(KTEPS) 865.04
Epoch 00028 | Time(s) 0.0105 | Loss 0.7219 | Accuracy 0.4820 | ETputs(KTEPS) 866.24
Epoch 00029 | Time(s) 0.0105 | Loss 0.7162 | Accuracy 0.5140 | ETputs(KTEPS) 868.26
Epoch 00030 | Time(s) 0.0105 | Loss 0.7027 | Accuracy 0.5040 | ETputs(KTEPS) 869.19
Epoch 00031 | Time(s) 0.0105 | Loss 0.7252 | Accuracy 0.4220 | ETputs(KTEPS) 870.97
Epoch 00032 | Time(s) 0.0104 | Loss 0.6444 | Accuracy 0.4480 | ETputs(KTEPS) 872.63
Epoch 00033 | Time(s) 0.0104 | Loss 0.6641 | Accuracy 0.4780 | ETputs(KTEPS) 873.38
Epoch 00034 | Time(s) 0.0104 | Loss 0.5860 | Accuracy 0.4820 | ETputs(KTEPS) 874.01
Epoch 00035 | Time(s) 0.0104 | Loss 0.5813 | Accuracy 0.5080 | ETputs(KTEPS) 874.68
Epoch 00036 | Time(s) 0.0104 | Loss 0.5599 | Accuracy 0.5280 | ETputs(KTEPS) 875.26
Epoch 00037 | Time(s) 0.0104 | Loss 0.4611 | Accuracy 0.5400 | ETputs(KTEPS) 875.87
Epoch 00038 | Time(s) 0.0104 | Loss 0.5972 | Accuracy 0.5300 | ETputs(KTEPS) 877.10
Epoch 00039 | Time(s) 0.0104 | Loss 0.5175 | Accuracy 0.4980 | ETputs(KTEPS) 877.57
