Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='pool', dataset='pubmed', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 88651
      #Classes 3
      #Train samples 60
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  266887
Epoch 00000 | Time(s) nan | Loss 1.1180 | Accuracy 0.1960 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.1002 | Accuracy 0.1960 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.0700 | Accuracy 0.2040 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0047 | Loss 1.0937 | Accuracy 0.3940 | ETputs(KTEPS) 19013.89
Epoch 00004 | Time(s) 0.0047 | Loss 1.0621 | Accuracy 0.5160 | ETputs(KTEPS) 18976.53
Epoch 00005 | Time(s) 0.0047 | Loss 0.9940 | Accuracy 0.5520 | ETputs(KTEPS) 18985.09
Epoch 00006 | Time(s) 0.0047 | Loss 0.9515 | Accuracy 0.6280 | ETputs(KTEPS) 18965.16
Epoch 00007 | Time(s) 0.0047 | Loss 0.9480 | Accuracy 0.6420 | ETputs(KTEPS) 18976.05
Epoch 00008 | Time(s) 0.0047 | Loss 0.8652 | Accuracy 0.5760 | ETputs(KTEPS) 18962.66
Epoch 00009 | Time(s) 0.0047 | Loss 0.8661 | Accuracy 0.5680 | ETputs(KTEPS) 18952.83
Epoch 00010 | Time(s) 0.0047 | Loss 0.6741 | Accuracy 0.5540 | ETputs(KTEPS) 18957.66
Epoch 00011 | Time(s) 0.0047 | Loss 0.6823 | Accuracy 0.5780 | ETputs(KTEPS) 18963.57
Epoch 00012 | Time(s) 0.0047 | Loss 0.6356 | Accuracy 0.6300 | ETputs(KTEPS) 18964.72
Epoch 00013 | Time(s) 0.0047 | Loss 0.5768 | Accuracy 0.6280 | ETputs(KTEPS) 18977.46
Epoch 00014 | Time(s) 0.0047 | Loss 0.5030 | Accuracy 0.6180 | ETputs(KTEPS) 18985.09
Epoch 00015 | Time(s) 0.0047 | Loss 0.4434 | Accuracy 0.6620 | ETputs(KTEPS) 18985.36
Epoch 00016 | Time(s) 0.0047 | Loss 0.5038 | Accuracy 0.6960 | ETputs(KTEPS) 18993.98
Epoch 00017 | Time(s) 0.0047 | Loss 0.4338 | Accuracy 0.7040 | ETputs(KTEPS) 19002.81
Epoch 00018 | Time(s) 0.0047 | Loss 0.3751 | Accuracy 0.7100 | ETputs(KTEPS) 18992.83
Epoch 00019 | Time(s) 0.0047 | Loss 0.3606 | Accuracy 0.7140 | ETputs(KTEPS) 18991.21
Epoch 00020 | Time(s) 0.0047 | Loss 0.3394 | Accuracy 0.7160 | ETputs(KTEPS) 18996.35
Epoch 00021 | Time(s) 0.0047 | Loss 0.2820 | Accuracy 0.7320 | ETputs(KTEPS) 18994.87
Epoch 00022 | Time(s) 0.0047 | Loss 0.3325 | Accuracy 0.7400 | ETputs(KTEPS) 19017.68
Epoch 00023 | Time(s) 0.0047 | Loss 0.2427 | Accuracy 0.7320 | ETputs(KTEPS) 19012.46
Epoch 00024 | Time(s) 0.0047 | Loss 0.2667 | Accuracy 0.7160 | ETputs(KTEPS) 19022.47
Epoch 00025 | Time(s) 0.0047 | Loss 0.1879 | Accuracy 0.7040 | ETputs(KTEPS) 19035.69
Epoch 00026 | Time(s) 0.0047 | Loss 0.1456 | Accuracy 0.6760 | ETputs(KTEPS) 19054.61
Epoch 00027 | Time(s) 0.0046 | Loss 0.1204 | Accuracy 0.6540 | ETputs(KTEPS) 19064.16
Epoch 00028 | Time(s) 0.0046 | Loss 0.1315 | Accuracy 0.6500 | ETputs(KTEPS) 19080.05
Epoch 00029 | Time(s) 0.0046 | Loss 0.1543 | Accuracy 0.6680 | ETputs(KTEPS) 19097.85
Epoch 00030 | Time(s) 0.0046 | Loss 0.0964 | Accuracy 0.7160 | ETputs(KTEPS) 19115.48
Epoch 00031 | Time(s) 0.0046 | Loss 0.0952 | Accuracy 0.7420 | ETputs(KTEPS) 19128.51
Epoch 00032 | Time(s) 0.0046 | Loss 0.0698 | Accuracy 0.7480 | ETputs(KTEPS) 19139.14
Epoch 00033 | Time(s) 0.0046 | Loss 0.1063 | Accuracy 0.7400 | ETputs(KTEPS) 19143.72
Epoch 00034 | Time(s) 0.0046 | Loss 0.1251 | Accuracy 0.7080 | ETputs(KTEPS) 19135.14
