Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='lstm', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  16487655
Epoch 00000 | Time(s) nan | Loss 1.9498 | Accuracy 0.0820 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 2.3564 | Accuracy 0.1200 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 2.8480 | Accuracy 0.1860 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.2424 | Loss 2.4946 | Accuracy 0.2240 | ETputs(KTEPS) 43.55
Epoch 00004 | Time(s) 0.2478 | Loss 2.4243 | Accuracy 0.2220 | ETputs(KTEPS) 42.60
Epoch 00005 | Time(s) 0.2463 | Loss 2.4254 | Accuracy 0.1920 | ETputs(KTEPS) 42.86
Epoch 00006 | Time(s) 0.2454 | Loss 2.1784 | Accuracy 0.2140 | ETputs(KTEPS) 43.02
Epoch 00007 | Time(s) 0.2449 | Loss 1.9706 | Accuracy 0.1400 | ETputs(KTEPS) 43.10
Epoch 00008 | Time(s) 0.2445 | Loss 2.0189 | Accuracy 0.1540 | ETputs(KTEPS) 43.17
Epoch 00009 | Time(s) 0.2443 | Loss 2.1660 | Accuracy 0.1980 | ETputs(KTEPS) 43.21
Epoch 00010 | Time(s) 0.2442 | Loss 2.4211 | Accuracy 0.1700 | ETputs(KTEPS) 43.23
Epoch 00011 | Time(s) 0.2441 | Loss 2.4807 | Accuracy 0.1900 | ETputs(KTEPS) 43.24
Epoch 00012 | Time(s) 0.2440 | Loss 2.3214 | Accuracy 0.2400 | ETputs(KTEPS) 43.26
Epoch 00013 | Time(s) 0.2439 | Loss 2.1156 | Accuracy 0.2200 | ETputs(KTEPS) 43.28
Epoch 00014 | Time(s) 0.2438 | Loss 2.2021 | Accuracy 0.1940 | ETputs(KTEPS) 43.29
Epoch 00015 | Time(s) 0.2438 | Loss 2.1237 | Accuracy 0.1540 | ETputs(KTEPS) 43.30
Epoch 00016 | Time(s) 0.2437 | Loss 2.0842 | Accuracy 0.1480 | ETputs(KTEPS) 43.31
Epoch 00017 | Time(s) 0.2437 | Loss 2.0037 | Accuracy 0.1460 | ETputs(KTEPS) 43.32
