Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='lstm', dataset='citeseer', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 9228
      #Classes 6
      #Train samples 120
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  109848182
Epoch 00000 | Time(s) nan | Loss 1.8042 | Accuracy 0.2280 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 3.1409 | Accuracy 0.2140 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 7.8052 | Accuracy 0.1740 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.4878 | Loss 5.1999 | Accuracy 0.1740 | ETputs(KTEPS) 18.66
Epoch 00004 | Time(s) 0.4934 | Loss 3.5698 | Accuracy 0.1720 | ETputs(KTEPS) 18.45
Epoch 00005 | Time(s) 0.4949 | Loss 2.9285 | Accuracy 0.1700 | ETputs(KTEPS) 18.40
Epoch 00006 | Time(s) 0.4945 | Loss 3.5510 | Accuracy 0.1580 | ETputs(KTEPS) 18.41
Epoch 00007 | Time(s) 0.4943 | Loss 2.3480 | Accuracy 0.1440 | ETputs(KTEPS) 18.42
Epoch 00008 | Time(s) 0.4943 | Loss 1.7568 | Accuracy 0.1380 | ETputs(KTEPS) 18.42
Epoch 00009 | Time(s) 0.4942 | Loss 1.7371 | Accuracy 0.0980 | ETputs(KTEPS) 18.42
Epoch 00010 | Time(s) 0.4941 | Loss 1.7416 | Accuracy 0.0600 | ETputs(KTEPS) 18.43
Epoch 00011 | Time(s) 0.4939 | Loss 1.7766 | Accuracy 0.0600 | ETputs(KTEPS) 18.43
Epoch 00012 | Time(s) 0.4935 | Loss 1.8185 | Accuracy 0.0600 | ETputs(KTEPS) 18.45
Epoch 00013 | Time(s) 0.4931 | Loss 1.7810 | Accuracy 0.0600 | ETputs(KTEPS) 18.46
Epoch 00014 | Time(s) 0.4917 | Loss 1.7718 | Accuracy 0.0600 | ETputs(KTEPS) 18.51
Epoch 00015 | Time(s) 0.4906 | Loss 1.7731 | Accuracy 0.0660 | ETputs(KTEPS) 18.56
Epoch 00016 | Time(s) 0.4897 | Loss 1.7791 | Accuracy 0.0680 | ETputs(KTEPS) 18.59
Epoch 00017 | Time(s) 0.4888 | Loss 1.7545 | Accuracy 0.0740 | ETputs(KTEPS) 18.62
Epoch 00018 | Time(s) 0.4882 | Loss 1.7763 | Accuracy 0.0900 | ETputs(KTEPS) 18.65
Epoch 00019 | Time(s) 0.4874 | Loss 1.7590 | Accuracy 0.0880 | ETputs(KTEPS) 18.68
Epoch 00020 | Time(s) 0.4869 | Loss 1.7544 | Accuracy 0.1200 | ETputs(KTEPS) 18.70
Epoch 00021 | Time(s) 0.4863 | Loss 1.7402 | Accuracy 0.2100 | ETputs(KTEPS) 18.72
Epoch 00022 | Time(s) 0.4858 | Loss 1.7163 | Accuracy 0.2040 | ETputs(KTEPS) 18.74
Epoch 00023 | Time(s) 0.4854 | Loss 1.8102 | Accuracy 0.2080 | ETputs(KTEPS) 18.75
Epoch 00024 | Time(s) 0.4850 | Loss 1.7054 | Accuracy 0.2360 | ETputs(KTEPS) 18.77
Epoch 00025 | Time(s) 0.4848 | Loss 1.6880 | Accuracy 0.2540 | ETputs(KTEPS) 18.78
Epoch 00026 | Time(s) 0.4845 | Loss 1.6788 | Accuracy 0.2520 | ETputs(KTEPS) 18.79
Epoch 00027 | Time(s) 0.4842 | Loss 1.6558 | Accuracy 0.2540 | ETputs(KTEPS) 18.80
Epoch 00028 | Time(s) 0.4840 | Loss 1.7155 | Accuracy 0.2560 | ETputs(KTEPS) 18.81
Epoch 00029 | Time(s) 0.4837 | Loss 1.6888 | Accuracy 0.2560 | ETputs(KTEPS) 18.82
Epoch 00030 | Time(s) 0.4836 | Loss 1.6841 | Accuracy 0.2640 | ETputs(KTEPS) 18.83
Epoch 00031 | Time(s) 0.4834 | Loss 1.7172 | Accuracy 0.2700 | ETputs(KTEPS) 18.83
Epoch 00032 | Time(s) 0.4832 | Loss 1.6638 | Accuracy 0.2800 | ETputs(KTEPS) 18.84
Epoch 00033 | Time(s) 0.4831 | Loss 1.6793 | Accuracy 0.2680 | ETputs(KTEPS) 18.85
