Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='lstm', dataset='pubmed', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 88651
      #Classes 3
      #Train samples 60
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  2022291
Epoch 00000 | Time(s) nan | Loss 1.0944 | Accuracy 0.1960 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.2325 | Accuracy 0.4900 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.0606 | Accuracy 0.4800 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.5196 | Loss 1.0551 | Accuracy 0.4180 | ETputs(KTEPS) 170.62
Epoch 00004 | Time(s) 0.5178 | Loss 1.0135 | Accuracy 0.3960 | ETputs(KTEPS) 171.19
Epoch 00005 | Time(s) 0.5172 | Loss 1.0814 | Accuracy 0.4260 | ETputs(KTEPS) 171.40
Epoch 00006 | Time(s) 0.5158 | Loss 0.9656 | Accuracy 0.4800 | ETputs(KTEPS) 171.86
Epoch 00007 | Time(s) 0.5166 | Loss 1.0455 | Accuracy 0.3520 | ETputs(KTEPS) 171.59
Epoch 00008 | Time(s) 0.5177 | Loss 1.2740 | Accuracy 0.3780 | ETputs(KTEPS) 171.24
Epoch 00009 | Time(s) 0.5176 | Loss 1.4223 | Accuracy 0.4260 | ETputs(KTEPS) 171.28
Epoch 00010 | Time(s) 0.5179 | Loss 1.0780 | Accuracy 0.3880 | ETputs(KTEPS) 171.17
Epoch 00011 | Time(s) 0.5201 | Loss 1.3867 | Accuracy 0.4060 | ETputs(KTEPS) 170.45
Epoch 00012 | Time(s) 0.5205 | Loss 0.9360 | Accuracy 0.4180 | ETputs(KTEPS) 170.32
Epoch 00013 | Time(s) 0.5196 | Loss 1.2710 | Accuracy 0.3660 | ETputs(KTEPS) 170.59
Epoch 00014 | Time(s) 0.5198 | Loss 1.1822 | Accuracy 0.3900 | ETputs(KTEPS) 170.56
Epoch 00015 | Time(s) 0.5196 | Loss 0.9812 | Accuracy 0.3980 | ETputs(KTEPS) 170.60
Epoch 00016 | Time(s) 0.5195 | Loss 0.9985 | Accuracy 0.5060 | ETputs(KTEPS) 170.65
Epoch 00017 | Time(s) 0.5198 | Loss 0.9258 | Accuracy 0.5500 | ETputs(KTEPS) 170.55
Epoch 00018 | Time(s) 0.5208 | Loss 0.9055 | Accuracy 0.5140 | ETputs(KTEPS) 170.23
Epoch 00019 | Time(s) 0.5207 | Loss 0.9681 | Accuracy 0.5020 | ETputs(KTEPS) 170.26
Epoch 00020 | Time(s) 0.5203 | Loss 0.9617 | Accuracy 0.4660 | ETputs(KTEPS) 170.36
Epoch 00021 | Time(s) 0.5203 | Loss 0.9501 | Accuracy 0.4740 | ETputs(KTEPS) 170.39
Epoch 00022 | Time(s) 0.5200 | Loss 0.9622 | Accuracy 0.5360 | ETputs(KTEPS) 170.48
Epoch 00023 | Time(s) 0.5187 | Loss 0.9284 | Accuracy 0.5760 | ETputs(KTEPS) 170.90
Epoch 00024 | Time(s) 0.5176 | Loss 0.8585 | Accuracy 0.5560 | ETputs(KTEPS) 171.27
Epoch 00025 | Time(s) 0.5171 | Loss 0.8090 | Accuracy 0.5400 | ETputs(KTEPS) 171.45
Epoch 00026 | Time(s) 0.5160 | Loss 0.9090 | Accuracy 0.5200 | ETputs(KTEPS) 171.80
Epoch 00027 | Time(s) 0.5151 | Loss 0.8351 | Accuracy 0.5080 | ETputs(KTEPS) 172.09
Epoch 00028 | Time(s) 0.5144 | Loss 0.8975 | Accuracy 0.4940 | ETputs(KTEPS) 172.34
Epoch 00029 | Time(s) 0.5139 | Loss 0.8489 | Accuracy 0.5360 | ETputs(KTEPS) 172.51
Epoch 00030 | Time(s) 0.5134 | Loss 0.7981 | Accuracy 0.5660 | ETputs(KTEPS) 172.67
Epoch 00031 | Time(s) 0.5127 | Loss 0.8497 | Accuracy 0.5600 | ETputs(KTEPS) 172.91
Epoch 00032 | Time(s) 0.5119 | Loss 0.8444 | Accuracy 0.5280 | ETputs(KTEPS) 173.16
